time,bike_nr,birth_date,duration,end_date,end_station,gender,id,resource_uri,start_date,start_station,status,subscription_type,zip_code,weekday
00,3,0,3,3,3,0,3,3,3,3,3,3,0,3
01,5,0,5,5,5,0,5,5,5,5,5,5,0,5
02,5,0,5,5,5,0,5,5,5,5,5,5,0,5
03,2,0,2,2,2,0,2,2,2,2,2,2,0,2
04,4,0,4,4,4,0,4,4,4,4,4,4,0,4
06,3,1,3,3,3,1,3,3,3,3,3,3,1,3
08,4,0,4,4,4,0,4,4,4,4,4,4,0,4
09,2,1,2,2,2,1,2,2,2,2,2,2,1,2
10,4,1,4,4,4,1,4,4,4,4,4,4,1,4
11,28,0,28,28,28,0,28,28,28,28,28,28,0,28
12,19,0,19,19,19,0,19,19,19,19,19,19,0,19
13,21,4,21,21,21,4,21,21,21,21,21,21,4,21
14,50,4,50,50,50,4,50,50,50,50,50,50,4,50
15,55,1,55,55,55,1,55,55,55,55,55,55,1,55
16,41,1,41,41,41,1,41,41,41,41,41,41,1,41
17,57,2,57,57,57,2,57,57,57,57,57,57,2,57
18,26,1,26,26,26,1,26,26,26,26,26,26,1,26
19,19,0,19,19,19,0,19,19,19,19,19,19,0,19
20,16,1,16,16,16,1,16,16,16,16,16,16,1,16
21,1,0,1,1,1,0,1,1,1,1,1,1,0,1
22,9,1,9,9,9,1,9,9,9,9,9,9,1,9
23,7,0,7,7,7,0,7,7,7,7,7,7,0,7
